Tue Dec 12 15:22:08 2017
 41.525755l -71.424587l
--------------------------------
Volts     |  1pps   
--------------------------------
  3.5641,   2.8757 
  3.5657,   2.8775 
  3.5648,   2.8748 
  3.5663,   2.8775 
  3.5657,   2.8769 
  3.5657,   2.8784 
  3.5651,   2.8754 
  3.5651,   2.8778 
  3.5645,   2.8787 
  3.5632,   2.8818 
  3.5632,   2.8748 
  3.5648,   2.8769 
  3.5651,   2.8796 
  3.5654,   2.8760 
  3.5654,   2.8772 
  3.5654,   2.8775 
  3.5641,   2.8775 
  3.5648,   2.8769 
  3.5632,   2.8824 
  3.5635,   2.8818 
  3.5635,   2.8781 
  3.5657,   2.8775 
  3.5641,   2.8763 
  3.5648,   2.8784 
  3.5651,   2.8763 
  3.5645,   2.8787 
  3.5651,   2.8763 
  3.5641,   2.8757 
  3.5648,   2.8815 
  3.5666,   2.8809 
  3.5675,   2.8751 
  3.5669,   2.8781 
  3.5672,   2.8781 
  3.5678,   2.8778 
  3.5678,   2.8772 
  3.5669,   2.8775 
  3.5672,   2.8778 
  3.5675,   2.8760 
  3.5666,   2.8806 
  3.5672,   2.8784 
  3.5666,   2.8781 
  3.5672,   2.8772 
  3.5675,   2.8769 
  3.5675,   2.8757 
  3.5690,   2.8760 
  3.5675,   2.8772 
  3.5681,   2.8769 
  3.5678,   2.8784 
  3.5681,   2.8809 
  3.5703,   2.8818 
  3.5690,   2.8781 
  3.5703,   2.8763 
  3.5681,   2.8775 
  3.5693,   2.8784 
  3.5699,   2.8784 
  3.5693,   2.8769 
  3.5696,   2.8784 
  3.5687,   2.8757 
  3.5699,   2.8802 
  3.5693,   2.8802 
  3.5709,   2.8796 
  3.5696,   2.8827 
  3.5709,   2.8763 
  3.5715,   2.8793 
  3.5721,   2.8769 
  3.5712,   2.8784 
  3.5718,   2.8784 
  3.5709,   2.8784 
  3.5703,   2.8809 
  3.5709,   2.8799 
  3.5703,   2.8802 
  3.5709,   2.8772 
  3.5693,   2.8754 
  3.5715,   2.8784 
  3.5709,   2.8784 
  3.5715,   2.8763 
  3.5715,   2.8784 
  3.5709,   2.8769 
  3.5721,   2.8827 
  3.5721,   2.8778 
  3.5696,   2.8757 
  3.5703,   2.8793 
  3.5712,   2.8778 
  3.5693,   2.8757 
  3.5690,   2.8763 
  3.5690,   2.8769 
  3.5693,   2.8778 
  3.5709,   2.8787 
  3.5703,   2.8815 
  3.5712,   2.8830 
  3.5696,   2.8717 
  3.5693,   2.8793 
  3.5709,   2.8738 
  3.5687,   2.8757 
  3.5693,   2.8763 
  3.5696,   2.8784 
  3.5693,   2.8763 
  3.5703,   2.8781 
  3.5703,   2.8827 
  3.5693,   2.8796 
  3.5681,   2.8754 
  3.5681,   2.8763 
  3.5696,   2.8769 
